,geo_name,income_2015,tract,census_polygon
0,Census Tract 0201,61838.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
2,Census Tract 0203,44922.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
3,Census Tract 0204,54329.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
12,Census Tract 0101,39719.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
13,Census Tract 0102,31390.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
127,Census Tract 0603,42875.0,0603,"51    MULTIPOLYGON (((-97.74280600967701 30.29539398...
Name: the_geom, dtype: object"
154,Census Tract 0101,37222.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
155,Census Tract 0102,36250.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
168,Census Tract 0201,36555.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
170,Census Tract 0203,19731.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
171,Census Tract 0204,50500.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
229,Census Tract 0201,46076.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
231,Census Tract 0203,45833.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
232,Census Tract 0204,48889.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
271,Census Tract 0301,43400.0,0301,"69    MULTIPOLYGON (((-97.71466801788353 30.31500894...
Name: the_geom, dtype: object"
272,Census Tract 0302,49948.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
273,Census Tract 0303,61974.0,0303,"119    MULTIPOLYGON (((-97.69895505406672 30.30387004...
Name: the_geom, dtype: object"
309,Census Tract 0101,31131.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
310,Census Tract 0102,40129.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
326,Census Tract 0201,40275.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
328,Census Tract 0203,30658.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
329,Census Tract 0204,32172.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
346,Census Tract 0601,22298.0,0601,"85    MULTIPOLYGON (((-97.73409896323574 30.28813100...
Name: the_geom, dtype: object"
349,Census Tract 0401,33977.0,0401,"54    MULTIPOLYGON (((-97.71960994991493 30.29484393...
Name: the_geom, dtype: object"
350,Census Tract 0402,45938.0,0402,"81    MULTIPOLYGON (((-97.70627502346765 30.28632591...
Name: the_geom, dtype: object"
354,Census Tract 0301,37994.0,0301,"69    MULTIPOLYGON (((-97.71466801788353 30.31500894...
Name: the_geom, dtype: object"
355,Census Tract 0302,25538.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
356,Census Tract 0303,37587.0,0303,"119    MULTIPOLYGON (((-97.69895505406672 30.30387004...
Name: the_geom, dtype: object"
360,Census Tract 0401,53802.0,0401,"54    MULTIPOLYGON (((-97.71960994991493 30.29484393...
Name: the_geom, dtype: object"
453,Census Tract 0101,16167.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
454,Census Tract 0102,22463.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
557,Census Tract 0301,32649.0,0301,"69    MULTIPOLYGON (((-97.71466801788353 30.31500894...
Name: the_geom, dtype: object"
558,Census Tract 0302,37124.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
559,Census Tract 0101,20196.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
560,Census Tract 0102,20521.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
590,Census Tract 0402,39732.0,0402,"81    MULTIPOLYGON (((-97.70627502346765 30.28632591...
Name: the_geom, dtype: object"
621,Census Tract 0203,44460.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
637,Census Tract 2314,29438.0,2314,"139    MULTIPOLYGON (((-97.7033999181239 30.224975963...
Name: the_geom, dtype: object"
638,Census Tract 2315,36358.0,2315,"8    MULTIPOLYGON (((-97.73099604899862 30.22970696...
Name: the_geom, dtype: object"
694,Census Tract 0101,66079.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
695,Census Tract 0102,65518.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
736,Census Tract 0301,30868.0,0301,"69    MULTIPOLYGON (((-97.71466801788353 30.31500894...
Name: the_geom, dtype: object"
739,Census Tract 0303,50595.0,0303,"119    MULTIPOLYGON (((-97.69895505406672 30.30387004...
Name: the_geom, dtype: object"
971,Census Tract 0500,41119.0,0500,"4    MULTIPOLYGON (((-97.72728107594459 30.29748303...
Name: the_geom, dtype: object"
990,Census Tract 0302,16914.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
991,Census Tract 0303,28940.0,0303,"119    MULTIPOLYGON (((-97.69895505406672 30.30387004...
Name: the_geom, dtype: object"
1147,Census Tract 0201,31616.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
1149,Census Tract 0203,41373.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
1150,Census Tract 0204,34688.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
1453,Census Tract 0201,31071.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
2967,Census Tract 0801,47026.0,0801,"135    MULTIPOLYGON (((-97.69870702149318 30.26065103...
Name: the_geom, dtype: object"
2968,Census Tract 0802,20212.0,0802,"120    MULTIPOLYGON (((-97.69791696086301 30.27357597...
Name: the_geom, dtype: object"
2969,Census Tract 0803,32656.0,0803,"31    MULTIPOLYGON (((-97.71597804437373 30.27440598...
Name: the_geom, dtype: object"
2970,Census Tract 0804,20222.0,0804,"92    MULTIPOLYGON (((-97.71456506096621 30.26677296...
Name: the_geom, dtype: object"
3019,Census Tract 0201,39803.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
3073,Census Tract 0302,48649.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
3137,Census Tract 0201,53068.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
3139,Census Tract 0203,34135.0,0203,"35    MULTIPOLYGON (((-97.73117204515762 30.31824105...
Name: the_geom, dtype: object"
3140,Census Tract 0204,27950.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
3212,Census Tract 0302,38611.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
3213,Census Tract 0303,40556.0,0303,"119    MULTIPOLYGON (((-97.69895505406672 30.30387004...
Name: the_geom, dtype: object"
3231,Census Tract 0204,52857.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
3244,Census Tract 0201,37676.0,0201,"59    MULTIPOLYGON (((-97.73983897851421 30.33479305...
Name: the_geom, dtype: object"
3246,Census Tract 0204,26458.0,0204,"2    MULTIPOLYGON (((-97.74160194858548 30.31533703...
Name: the_geom, dtype: object"
3256,Census Tract 0101,29821.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
3257,Census Tract 0102,34939.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
3274,Census Tract 0901,30792.0,0901,"97    MULTIPOLYGON (((-97.71456506096621 30.26677296...
Name: the_geom, dtype: object"
3275,Census Tract 0902,33306.0,0902,"143    MULTIPOLYGON (((-97.71322093835404 30.26316997...
Name: the_geom, dtype: object"
3482,Census Tract 0801,45373.0,0801,"135    MULTIPOLYGON (((-97.69870702149318 30.26065103...
Name: the_geom, dtype: object"
3483,Census Tract 0802,37045.0,0802,"120    MULTIPOLYGON (((-97.69791696086301 30.27357597...
Name: the_geom, dtype: object"
3484,Census Tract 0803,30168.0,0803,"31    MULTIPOLYGON (((-97.71597804437373 30.27440598...
Name: the_geom, dtype: object"
3485,Census Tract 0804,36723.0,0804,"92    MULTIPOLYGON (((-97.71456506096621 30.26677296...
Name: the_geom, dtype: object"
3514,Census Tract 0102,31269.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
4214,Census Tract 0302,47083.0,0302,"37    MULTIPOLYGON (((-97.71528291804395 30.30190901...
Name: the_geom, dtype: object"
4456,Census Tract 0101,35479.0,0101,"87    MULTIPOLYGON (((-97.75498601356148 30.33634192...
Name: the_geom, dtype: object"
4457,Census Tract 0102,37609.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
4476,Census Tract 0102,48490.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
4495,Census Tract 0102,33342.0,0102,"134    MULTIPOLYGON (((-97.75702994236329 30.33742998...
Name: the_geom, dtype: object"
4723,Census Tract 0401,36034.0,0401,"54    MULTIPOLYGON (((-97.71960994991493 30.29484393...
Name: the_geom, dtype: object"
4724,Census Tract 0402,40789.0,0402,"81    MULTIPOLYGON (((-97.70627502346765 30.28632591...
Name: the_geom, dtype: object"
5086,Census Tract 1813,84531.0,1813,"101    MULTIPOLYGON (((-97.67602791910979 30.35086502...
Name: the_geom, dtype: object"
5096,Census Tract 1833,61576.0,1833,"74    MULTIPOLYGON (((-97.66586794331417 30.37241695...
Name: the_geom, dtype: object"
