,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
0,1111.0,05/25/2015 12:00:00 AM,8:00:00,W,M,1.0,N,10000 BLOCK WEST BEN WHITE BOULEVARD,N,,,30.2272657,-97.7753755
1,320540.0,12/07/2015 12:00:00 AM,23:46:00,H,F,1.0,N,SOUTH PLEASANT VALLEY ROAD,N,,,30.2067971,-97.74041079999999
2,1394195.0,09/01/2015 12:00:00 AM,21:05:00,W,M,1.0,N,1300 BLOCK SOUTH 1ST STREET,N,,,30.251492,-97.7543
3,1395858.0,02/04/2015 12:00:00 AM,20:51:00,W,F,1.0,N,EAST 7TH STREET,N,,,30.2617417,-97.7187189
4,1409057.0,12/14/2015 12:00:00 AM,15:57:00,W,M,1.0,N,7200 BLOCK FM 2222 ROAD,N,,,30.3585362,-97.786796
5,1412482.0,04/16/2015 12:00:00 AM,23:30:00,W,M,1.0,N,1000 BLOCK SOUTH IH 35,N,,,30.2483209,-97.73580950000002
6,1413806.0,03/23/2015 12:00:00 AM,23:59:00,B,M,1.0,N,500 BLOCK EAST 8TH STREET,N,,,30.268637,-97.7375
7,1414482.0,06/11/2015 12:00:00 AM,12:46:00,H,M,1.0,N,NORTH IH 35 SERVICE ROAD AND,N,,,30.3033553,-97.71462810000001
8,1417385.0,12/07/2015 12:00:00 AM,22:58:00,B,M,1.0,N,SUNSTRIP,N,,,30.1967764,-97.7830046
9,1417576.0,10/16/2015 12:00:00 AM,15:25:00,W,M,1.0,N,700 BLOCK NORTH IH 35 SERVICE ROAD,N,,,30.3733721,-97.6785463
10,1417850.0,03/27/2015 12:00:00 AM,2:43:00,H,M,1.0,N,11200 BLOCK NORTH LAMAR BOULEVARD,Y,3.0,5.0,30.380835,-97.687
11,1418775.0,06/02/2015 12:00:00 AM,13:02:00,H,M,1.0,Y,JUSTIN LANE,N,,,30.3414318,-97.7283064
12,9629091.0,02/20/2015 12:00:00 AM,11:37:00,,M,,N,600 BLOCK NORTH IH 35,N,,,30.4367853,-97.66923039999999
13,10361060.0,06/29/2015 12:00:00 AM,6:21:00,W,M,1.0,N,1500 BLOCK EAST RIVERSIDE DRIVE,N,,,30.246319,-97.73193
14,11896435.0,12/07/2015 12:00:00 AM,17:30:00,B,M,5.0,N,6600 BLOCK BOURG COVE,N,,,30.180185,-97.75004
15,12817298.0,02/16/2015 12:00:00 AM,10:13:00,H,F,1.0,N,BURLESON,N,,,30.1958403,-97.702862
16,12819978.0,03/26/2015 12:00:00 AM,15:30:00,O,M,1.0,N,11900 NORTH IH 35,N,,,30.4367853,-97.66923039999999
17,12819979.0,08/06/2015 12:00:00 AM,0:00:00,H,F,1.0,N,1400 BLOCK EAST OLTORF STREET,N,,,30.2338889,-97.7418213
18,13224015.0,12/22/2015 12:00:00 AM,6:41:00,W,,5.0,N,9000 WEST PARMER LANE,N,,,30.4771473,-97.7649675
19,13290002.0,04/17/2015 12:00:00 AM,18:15:00,W,M,5.0,N,101 BLOCK WEST OLTORF STREET,N,,,30.237047,-97.75041
20,13290003.0,04/17/2015 12:00:00 AM,19:30:00,H,M,5.0,N,5900 SOUTH IH 35,N,,,30.1976199,-97.76529769999999
21,13290004.0,04/27/2015 12:00:00 AM,15:15:00,H,F,1.0,N,STASSNEY LANE,N,,,30.1939307,-97.7460432
22,13290005.0,05/14/2015 12:00:00 AM,17:30:00,W,M,1.0,N,9600 BLOCK BRODIE LANE,N,,,30.18842,-97.84674
23,13290006.0,05/17/2015 12:00:00 AM,19:05:00,W,M,5.0,N,11200 SPRUCE CANYON DRIVE,N,,,30.1851172,-97.9052067
24,13290007.0,06/01/2015 12:00:00 AM,5:26:00,H,M,5.0,N,710 EAST BEN WHITE BOULEVARD SERVICE RD,N,,,30.219494,-97.75654
25,13290008.0,06/02/2015 12:00:00 AM,18:46:00,W,F,1.0,N,MANCHACA ROAD,N,,,30.1942054,-97.81103209999999
26,13290009.0,06/20/2015 12:00:00 AM,16:48:00,H,F,5.0,N,500 BLOCK EAST BEN WHITE BOULEVARD,N,,,30.220219,-97.757706
27,13342130.0,03/10/2015 12:00:00 AM,18:00:00,H,M,5.0,N,WEST BEN WHITE BOULEVARD,N,,,30.2272657,-97.7753755
28,13342131.0,03/20/2015 12:00:00 AM,18:40:00,W,M,1.0,N,NORTH IH35 SERVICE ROAD,N,,,30.3747519,-97.6764406
